Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0004,0.15,0.0003,0.22,0.0002,0.42,0.0002,0.43
64,0.0035,0.15,0.0022,0.23,0.0012,0.45,0.0012,0.46
96,0.0071,0.25,0.0030,0.59,0.0016,1.13,0.0016,1.12
128,0.0128,0.33,0.0070,0.60,0.0036,1.15,0.0038,1.11
160,0.0241,0.34,0.0136,0.60,0.0071,1.15,0.0073,1.13
192,0.0448,0.32,0.0234,0.60,0.0122,1.16,0.0125,1.13
224,0.0737,0.31,0.0364,0.62,0.0148,1.52,0.0152,1.48
256,0.1168,0.29,0.0421,0.80,0.0221,1.52,0.0234,1.44
320,0.1858,0.35,0.0819,0.80,0.0429,1.53,0.0443,1.48
384,0.3956,0.29,0.1413,0.80,0.0740,1.53,0.0781,1.45
448,0.5709,0.32,0.2243,0.80,0.1173,1.53,0.1222,1.47
512,1.0057,0.27,0.3330,0.81,0.1744,1.54,0.1897,1.41
640,2.1251,0.25,0.6518,0.80,0.3429,1.53,0.3631,1.44
768,3.7374,0.24,1.1258,0.80,0.5922,1.53,0.6346,1.43
896,5.9298,0.24,1.7950,0.80,0.9442,1.52,1.0060,1.43
1024,9.0441,0.24,2.6841,0.80,1.4062,1.53,1.6726,1.28
1280,18.7651,0.22,5.2808,0.79,2.7797,1.51,2.9689,1.41
1536,39.3633,0.18,9.6866,0.75,5.4276,1.34,5.3681,1.35
1792,76.6209,0.15,16.2131,0.71,9.4698,1.22,8.5322,1.35
2048,456.7139,0.04,24.5448,0.70,14.7468,1.16,21.4102,0.80
